RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Bad,62,144,6,81,4,5,3,33,17,7,2,9,1,22,36,0,0,36,59.0,2,1,0,75,0.14903129657228018,True,False,44.0,6
Bad,63,203,41,111,11,1,1,69,13,7,3,13,0,38,0,0,0,93,,8,2,3,100,0.14903129657228018,True,False,85.0,13
Bad,72,113,10,77,21,5,5,73,36,7,2,26,1,15,0,2,2,4,,2,1,0,60,0.14903129657228018,True,False,81.0,15
Good,67,117,5,61,26,0,0,93,30,7,6,27,3,15,3,1,1,86,,5,1,3,67,0.14903129657228018,True,False,96.0,18
Good,77,206,11,90,15,0,0,100,125,7,7,20,1,27,10,0,0,38,,3,1,1,67,0.14903129657228018,False,False,75.0,13
Good,84,110,30,67,12,0,0,100,125,7,7,13,0,23,0,1,1,4,74.0,2,2,0,80,0.14903129657228018,False,False,92.0,10
Good,70,204,6,77,28,0,0,97,2,6,6,50,4,23,6,0,0,33,97.0,3,1,1,42,0.628930817610063,True,True,56.0,21
Good,83,426,10,142,36,0,0,100,125,7,7,37,1,24,3,1,1,9,71.0,5,2,0,44,0.14903129657228018,False,False,97.0,16
Good,83,282,1,92,37,0,0,100,125,7,7,38,2,11,1,1,1,1,67.0,10,1,0,44,0.14903129657228018,False,False,97.0,16
Bad,59,120,7,32,7,1,1,86,5,6,6,24,2,57,36,1,1,42,95.0,1,2,0,100,0.628930817610063,True,True,29.0,24
Bad,57,81,2,47,13,1,1,79,13,7,6,15,1,64,0,1,1,48,19.0,5,4,0,100,0.14903129657228018,True,False,87.0,15
Bad,80,118,13,74,11,0,0,100,125,7,7,11,0,73,0,0,0,25,84.0,1,2,0,75,0.14903129657228018,False,False,100.0,8
Bad,73,271,56,148,8,1,1,88,47,7,6,8,0,38,0,0,0,0,,1,2,0,75,0.14903129657228018,True,False,100.0,6
Good,86,324,11,132,8,0,0,100,125,7,7,8,1,38,36,0,0,39,,1,2,0,33,0.14903129657228018,False,False,100.0,2
Good,65,271,4,92,24,0,0,92,1,6,6,24,2,42,0,2,2,31,45.0,8,3,1,73,0.628930817610063,True,True,100.0,17
Bad,61,247,4,95,36,0,0,92,1,6,6,39,1,59,0,1,1,87,99.0,8,4,3,93,0.628930817610063,True,True,92.0,36
Bad,57,26,7,18,5,0,0,100,125,7,7,5,1,60,0,1,1,100,,2,1,2,100,0.14903129657228018,False,False,100.0,5
Bad,71,179,4,68,32,1,1,97,50,7,3,33,5,21,1,5,5,43,45.0,12,4,3,76,0.14903129657228018,True,False,97.0,25
Good,90,200,5,97,16,0,0,100,125,7,7,17,2,41,0,1,1,2,5.0,2,3,0,71,0.14903129657228018,False,False,94.0,12
Good,85,166,11,81,22,0,0,100,125,7,7,22,1,36,0,0,0,0,55.0,0,2,0,29,0.14903129657228018,False,False,100.0,6
Bad,64,209,10,110,21,2,1,92,14,7,5,24,1,42,36,3,3,57,80.0,4,2,2,100,0.14903129657228018,True,False,88.0,24
Good,80,173,2,67,35,0,0,100,125,7,7,36,1,22,10,0,0,4,100.0,3,2,0,26,0.14903129657228018,False,False,97.0,9
Good,78,195,1,38,29,0,0,100,125,7,7,38,5,51,0,6,6,10,95.0,4,13,0,68,0.14903129657228018,False,False,76.0,25
Bad,72,126,12,64,15,0,0,100,125,7,7,15,0,47,0,2,2,77,69.0,4,2,2,75,0.14903129657228018,False,False,100.0,11
Bad,59,220,87,132,10,5,2,59,3,6,2,17,0,41,22,0,0,0,,0,1,0,33,0.628930817610063,True,True,59.0,5
Good,87,241,2,93,17,0,0,100,125,7,7,18,4,17,36,1,1,7,,5,1,1,50,0.14903129657228018,False,False,94.0,9
Good,82,333,3,107,44,0,0,100,125,7,7,44,4,34,0,1,1,6,87.0,6,6,0,60,0.14903129657228018,False,False,100.0,26
Good,74,218,9,71,24,0,0,100,125,7,7,24,2,38,8,0,0,42,88.0,7,3,0,77,0.14903129657228018,False,False,100.0,18
Bad,78,282,2,95,23,0,0,100,125,7,7,24,1,13,0,1,1,22,,4,1,1,43,0.14903129657228018,False,False,96.0,10
Bad,86,129,13,74,17,0,0,100,125,7,7,17,0,35,0,0,0,10,,3,1,0,80,0.14903129657228018,False,False,100.0,13
Bad,67,100,3,61,19,0,0,100,125,7,7,21,1,43,0,0,0,99,82.0,7,1,5,89,0.14903129657228018,False,False,90.0,18
Good,87,195,70,207,20,0,0,100,125,7,7,21,0,29,36,0,0,11,,2,2,0,50,0.14903129657228018,False,False,95.0,10
Good,81,213,8,119,30,3,3,94,35,7,3,34,1,41,0,1,0,4,21.0,2,2,0,36,0.14903129657228018,True,False,88.0,12
Bad,54,358,9,104,49,0,0,90,3,6,6,49,1,78,36,2,2,83,79.0,7,8,3,88,0.628930817610063,True,True,100.0,43
Bad,54,316,30,132,8,10,6,47,4,5,3,19,0,47,5,0,0,38,60.0,2,2,0,57,0.628930817610063,True,True,42.0,10
Good,84,179,6,77,18,0,0,100,125,7,7,18,3,17,9,0,0,3,,1,2,0,43,0.14903129657228018,False,False,100.0,7
Good,81,325,9,117,20,1,0,95,35,7,5,21,3,52,10,0,0,3,31.0,2,2,0,63,0.14903129657228018,True,False,95.0,13
Good,91,225,4,121,12,0,0,100,125,7,7,28,2,25,0,0,0,3,,2,1,0,60,0.14903129657228018,False,False,43.0,16
Bad,79,157,7,75,27,0,0,100,125,7,7,29,1,66,1,2,2,24,70.0,4,4,0,67,0.14903129657228018,False,False,93.0,19
Bad,74,204,14,88,51,0,0,100,125,7,7,64,0,40,36,0,0,34,53.0,6,9,1,75,0.14903129657228018,False,False,80.0,48
Bad,52,296,7,95,43,2,0,89,3,6,5,47,1,68,0,1,1,69,44.0,6,10,3,85,0.628930817610063,True,True,91.0,39
Good,88,190,6,65,20,0,0,100,125,7,7,21,1,14,5,1,1,0,50.0,4,2,0,46,0.14903129657228018,False,False,95.0,9
Good,87,393,2,110,20,0,0,100,125,7,7,31,1,42,10,0,0,4,,3,2,0,33,0.14903129657228018,False,False,65.0,10
Bad,64,286,1,72,35,0,0,100,125,7,7,36,4,39,3,3,3,73,79.0,10,5,3,80,0.14903129657228018,False,False,97.0,28
Bad,79,86,9,36,13,0,0,100,125,7,7,13,1,8,36,0,0,19,,6,1,0,70,0.14903129657228018,False,False,100.0,9
Good,82,220,3,59,27,0,0,100,125,7,7,27,4,26,0,1,0,7,89.0,2,3,0,36,0.14903129657228018,False,False,100.0,9
Good,79,158,3,54,23,0,0,100,125,7,7,25,2,38,3,2,2,14,130.0,1,2,0,50,0.14903129657228018,False,False,92.0,12
Good,75,138,5,68,28,0,0,100,125,7,7,29,2,54,2,1,1,0,82.0,1,14,0,79,0.14903129657228018,False,False,97.0,22
Good,79,194,5,86,47,0,0,100,125,7,7,49,2,55,0,0,0,23,82.0,3,5,0,57,0.14903129657228018,False,False,96.0,27
Bad,66,153,8,52,29,0,0,100,125,7,7,29,1,14,0,0,0,61,79.0,5,1,4,43,0.14903129657228018,False,False,100.0,12
Bad,65,77,13,52,11,3,3,83,44,7,4,14,0,58,0,0,0,71,,2,1,2,60,0.14903129657228018,True,False,79.0,8
Bad,82,299,1,112,12,0,0,100,125,7,7,13,3,8,0,1,1,34,,4,1,1,45,0.14903129657228018,False,False,92.0,5
Bad,67,14,14,14,2,0,0,100,125,7,7,2,0,0,3,1,1,82,,2,2,1,100,0.14903129657228018,False,False,100.0,2
Bad,72,252,1,47,14,0,0,94,39,7,6,16,6,31,0,2,2,49,71.0,3,3,0,78,0.14903129657228018,True,False,88.0,12
Good,75,134,3,63,28,1,0,97,80,7,5,34,2,21,2,5,5,16,,3,1,0,67,0.14903129657228018,True,False,82.0,22
Bad,63,200,18,79,16,0,0,82,3,6,6,17,0,29,9,0,0,31,68.0,2,1,1,50,0.628930817610063,True,True,94.0,8
Bad,65,251,9,67,23,4,3,92,11,6,5,24,3,79,0,1,1,86,87.0,2,3,1,100,0.628930817610063,True,True,96.0,24
Bad,54,67,11,23,15,0,0,69,1,6,6,16,6,25,6,0,0,76,87.0,6,2,0,90,0.628930817610063,True,True,94.0,14
Good,85,166,4,124,26,0,0,100,125,7,7,27,2,38,0,1,1,10,68.0,3,4,1,54,0.14903129657228018,False,False,96.0,14
Good,68,123,20,44,7,0,0,86,10,7,6,7,0,29,1,1,1,26,72.0,2,2,0,80,0.14903129657228018,True,False,100.0,5
Bad,80,233,143,211,4,0,0,100,125,7,7,4,0,0,23,0,0,92,,1,2,1,50,0.14903129657228018,False,False,100.0,2
Bad,84,204,3,91,22,0,0,100,125,7,7,22,1,32,0,2,2,70,85.0,3,3,2,55,0.14903129657228018,False,False,100.0,12
Bad,68,207,2,86,30,0,0,94,2,6,6,57,3,16,36,2,2,19,51.0,3,2,0,36,0.628930817610063,True,True,53.0,20
Good,90,320,8,85,8,0,0,100,125,7,7,8,1,25,12,0,0,2,,2,2,0,67,0.14903129657228018,False,False,100.0,5
Good,84,128,3,48,23,0,0,100,125,7,7,23,3,30,0,1,1,14,99.0,4,3,0,64,0.14903129657228018,False,False,100.0,14
Good,74,229,7,72,26,0,0,92,12,7,6,28,2,27,36,3,3,17,85.0,2,3,0,45,0.14903129657228018,True,False,93.0,12
Bad,83,262,19,135,36,0,0,100,125,7,7,37,0,27,19,0,0,38,47.0,11,2,1,76,0.14903129657228018,False,False,97.0,28
Good,84,188,12,78,30,0,0,100,125,7,7,30,0,21,2,1,1,0,,1,2,1,75,0.14903129657228018,False,False,100.0,22
Bad,63,66,9,52,3,1,1,75,6,6,6,4,1,75,36,1,1,71,132.0,1,1,0,100,0.628930817610063,True,True,75.0,4
Good,80,169,3,71,16,0,0,100,125,7,7,16,2,13,0,0,0,33,,3,1,1,50,0.14903129657228018,False,False,100.0,8
Good,77,154,9,63,27,0,0,96,7,6,6,27,1,63,0,2,2,1,80.0,1,5,0,60,0.628930817610063,True,True,100.0,16
Good,85,197,4,81,26,0,0,100,125,7,7,26,3,19,36,3,3,4,6.0,2,2,0,29,0.14903129657228018,False,False,100.0,7
Bad,63,291,9,88,25,0,0,84,3,6,6,25,2,32,0,0,0,30,73.0,7,2,1,82,0.628930817610063,True,True,100.0,20
Good,77,473,4,86,40,0,0,100,125,7,7,46,7,10,3,1,1,14,30.0,9,2,0,55,0.14903129657228018,False,False,87.0,25
Good,73,238,2,101,44,2,1,87,6,6,2,50,2,13,0,2,2,5,,4,1,0,29,0.628930817610063,True,True,88.0,14
Bad,77,61,2,33,14,0,0,100,125,7,7,15,1,7,21,0,0,27,,4,1,0,56,0.14903129657228018,False,False,93.0,8
Good,89,302,28,137,22,0,0,100,125,7,7,22,0,0,36,0,0,3,,4,2,0,50,0.14903129657228018,False,False,100.0,11
Bad,66,162,9,51,21,1,1,86,26,7,2,22,1,45,1,6,6,32,76.0,5,2,0,64,0.14903129657228018,True,False,95.0,14
Good,77,148,27,96,13,0,0,100,125,7,7,14,0,50,0,2,2,75,,1,1,0,100,0.14903129657228018,False,False,93.0,14
Bad,62,250,14,139,38,1,0,90,2,6,5,41,0,24,36,0,0,62,,9,1,3,83,0.628930817610063,True,True,93.0,34
Good,86,377,22,143,11,0,0,100,125,7,7,11,0,0,0,0,0,21,,3,2,0,100,0.14903129657228018,False,False,100.0,11
Good,72,198,2,55,30,0,0,100,125,7,7,31,3,45,0,1,1,37,87.0,4,4,2,67,0.14903129657228018,False,False,97.0,20
Good,76,24,8,12,12,0,0,100,125,7,7,12,7,25,0,0,0,9,,2,2,0,50,0.14903129657228018,False,False,100.0,6
Good,87,228,3,68,31,0,0,100,125,7,7,31,3,29,0,3,3,0,98.0,1,2,0,33,0.14903129657228018,False,False,100.0,10
Bad,59,224,17,122,13,3,2,58,8,4,2,33,0,32,36,0,0,55,47.0,4,4,0,62,0.628930817610063,True,True,39.0,20
Good,77,251,29,111,23,3,1,89,43,7,5,27,0,56,0,1,1,2,42.0,3,2,0,63,0.14903129657228018,True,False,85.0,17
Bad,70,278,11,87,16,1,0,94,12,7,5,31,1,18,36,1,1,74,66.0,7,3,3,100,0.14903129657228018,True,False,52.0,31
Good,65,268,2,77,40,1,1,98,49,7,2,42,6,24,3,1,1,62,60.0,7,3,3,83,0.14903129657228018,True,False,95.0,34
Good,77,210,6,85,36,0,0,100,125,7,7,39,1,19,36,1,1,30,53.0,3,2,1,31,0.14903129657228018,False,False,92.0,12
Good,79,288,4,79,44,0,0,100,125,7,7,47,4,28,11,0,0,27,93.0,7,2,1,53,0.14903129657228018,False,False,94.0,24
Bad,78,263,1,116,14,0,0,100,125,7,7,16,3,19,0,14,14,45,,4,2,2,40,0.14903129657228018,False,False,88.0,6
Bad,62,58,3,18,4,0,0,100,125,7,7,4,3,25,2,6,6,99,97.0,3,1,1,100,0.14903129657228018,False,False,100.0,4
Good,72,349,8,142,32,0,0,82,28,7,6,34,2,26,0,1,1,1,57.0,1,4,0,30,0.14903129657228018,True,False,94.0,10
Good,80,226,10,77,31,0,0,100,125,7,7,31,2,16,9,1,1,19,12.0,2,2,0,40,0.14903129657228018,False,False,100.0,12
Bad,91,449,4,149,11,0,0,100,125,7,7,11,2,9,0,0,0,0,,1,1,0,25,0.14903129657228018,False,False,100.0,2
Bad,85,231,4,77,14,1,0,93,67,7,5,15,1,20,0,0,0,0,59.0,1,1,0,38,0.14903129657228018,True,False,93.0,5
Good,70,433,17,139,35,0,0,97,79,7,6,35,0,26,0,0,0,53,66.0,10,2,4,60,0.14903129657228018,True,False,100.0,21
Bad,57,360,6,124,40,3,0,93,2,5,5,44,2,25,7,0,0,60,39.0,9,3,1,86,0.628930817610063,True,True,91.0,37
Good,81,220,2,91,20,0,0,100,125,7,7,23,2,39,36,2,2,36,,3,1,1,67,0.14903129657228018,False,False,87.0,15
