RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,delinquency,TotalNetFraction,NumInstallment,TradeFrequency
Bad,59,209,13,85,38,0,78,4,5,37,0,53,0.0,7,88,28,4,5,2,100,1.0752688172043012,107.13999999999999,116,5.0,0.0
Good,87,122,2,121,12,0,100,7,8,3,3,31,2.0,2,6,46,3,1,0,50,0.2145922746781116,0.0,52,1.0,1.0
Good,75,138,5,68,28,0,100,7,8,29,2,54,2.0,1,0,82,1,14,0,79,0.2145922746781116,0.0,82,14.000000000000002,0.06896551724137931
Good,79,194,5,86,47,0,100,7,8,49,2,55,0.0,0,23,82,3,5,0,57,0.2145922746781116,0.0,105,5.0,0.04081632653061224
Bad,66,153,8,52,29,0,100,7,8,29,1,14,0.0,0,61,79,5,1,4,43,0.2145922746781116,0.0,140,1.0,0.034482758620689655
Bad,65,77,13,52,11,3,83,6,4,14,0,58,0.0,0,71,46,2,1,2,60,3.7037037037037033,82.78999999999996,117,1.0,0.21428571428571427
Bad,82,299,1,112,12,0,100,7,8,13,3,8,0.0,1,34,46,4,1,1,45,0.2145922746781116,0.0,80,1.0,0.23076923076923078
Bad,67,14,14,14,2,0,100,7,8,2,0,0,3.0,1,82,46,2,2,1,100,0.2145922746781116,0.0,128,2.0,0.0
Bad,72,252,1,47,14,0,94,6,6,16,6,31,0.0,2,49,71,3,3,0,78,0.398406374501992,29.21999999999997,120,3.0,0.375
Good,75,134,3,63,28,0,97,6,5,34,2,21,2.0,5,16,46,3,1,0,67,1.0752688172043012,14.610000000000014,62,1.0,0.058823529411764705
Bad,63,200,18,79,16,0,82,4,6,17,0,29,9.0,0,31,68,2,1,1,50,0.398406374501992,87.65999999999997,99,1.0,0.0
Bad,65,251,9,67,23,3,92,4,5,24,3,79,0.0,1,86,87,2,3,1,100,1.0752688172043012,38.95999999999998,173,3.0,0.25
Bad,54,67,11,23,15,0,69,4,6,16,6,25,6.0,0,76,87,6,2,0,90,0.398406374501992,150.96999999999997,163,2.0,0.375
Good,85,166,4,124,26,0,100,6,7,27,2,38,0.0,1,10,68,3,4,1,54,6.666666666666667,0.0,78,4.0,0.07407407407407407
Good,68,123,20,44,7,0,86,6,6,7,0,29,1.0,1,26,72,2,2,0,80,0.398406374501992,68.18,98,2.0,0.0
Bad,80,233,143,211,4,0,100,7,8,4,0,0,23.0,0,92,46,1,2,1,50,0.2145922746781116,0.0,138,2.0,0.0
